Sample,Antigen,IgG1,IgG1f,IgG3,IgG3f
59,B.1.617.2.RBD,0.006092368122940392,0.006092463233911066,99327.56254150558,367175.7456501732
59,B.617.1.RBD,0.04572534327917416,0.04573038370348569,119910.17505302628,415144.2801894524
59,B.617.1.S,906267.8890664704,19733.376054996406,2016476.1404841878,723.4506464873291
59,B.617.2.S,426606.5368503523,5621.547272823138,1628444.0987030745,1273.4055972050871
59,WT.N,78.1262495889159,102.7634884108738,211724.43250345104,412302.34368105297
59,WT.NTD,0.01920811268545786,0.019209251706385974,133868.51090606974,378063.99194097647
59,WT.RBD,216.20638516128403,197.24208844986305,444677.1661498128,288498.43356752576
59,WT.S,818.9622960028394,735.6226888917328,951238.4044142708,416910.5159224589
59,WT.S1,0.444708053350973,0.44472045065215554,281880.7800370793,373309.51745684043
59,WT.S2,5.002983982623188,5.070661294912865,417112.061976489,746735.445507654
60,B.1.1.7.RBD,3302.906444155402,1109.9179928385377,602994.1091044043,396237.3346596767
60,B.1.1.7.S,196451.05933650516,20382.783617335284,1806002.601100646,132540.35732843133
60,B.1.351.RBD,53.666685438798886,54.05864522302001,518031.8566508904,714475.4567816602
60,B.1.351.S,1049186.7560951023,4380.946587254086,2074186.55258136,2080.680441520436
60,B.1.617.2.RBD,0.35013496473271805,0.35022402114862017,283304.06742551364,488667.8910515933
60,B.617.1.RBD,3.7157055208092644,3.722019654259441,420649.15193310834,547925.1992115781
60,B.617.1.S,8294.226651014833,571028.2043004757,2249590.6847485118,324052.2734788593
60,B.617.2.S,464989.6890950982,9720.642091051317,1900840.590141803,15193.13538277062
60,WT.N,81.32405745930349,91.9056892944984,455199.21367290244,717510.7021434306
60,WT.NTD,3.4729355083613855,3.4910957675540772,521308.9662854627,831321.4588364087
60,WT.RBD,549467.4708893123,4089.8312351327736,1985596.972678855,1838.2493235365566
60,WT.S,3825.199392781119,2312.6173842512458,1393715.3022345493,698437.1660185212
60,WT.S1,8574.43300953025,3377.7318154901545,1547839.1482643813,381069.1621311729
60,WT.S2,81.02396216415808,84.4718234572412,745696.3521041992,1050899.0776754196
61,B.1.1.7.RBD,3.2498675979863254,3.2752004604918055,162098.3973195962,353966.5363663417
61,B.1.1.7.S,0.06968430852510459,0.06969696676001924,141482.4237553834,364552.48055789503
61,B.1.351.RBD,0.03796652701331917,0.03797151094674692,123064.50720940159,503551.1945793563
61,B.1.351.S,0.07926635157781488,0.0792703963448888,274361.5063212509,825978.9115663132
61,B.1.617.2.RBD,0.005292724719921562,0.0052927888476858,98659.8474445478,334957.9338324493
61,B.617.1.RBD,0.020446407628319403,0.020447754351677255,99454.79626804478,370455.76664651925
61,B.617.1.S,97.74242610234701,108.36007826165009,429749.01135255647,1064556.8854660187
61,B.617.2.S,0.35689000625272055,0.3570827333227578,174369.13042825172,366884.3475258254
61,WT.N,68.17950456891153,80.92004992024046,263871.25890220056,370859.6108134212
61,WT.NTD,0.011062370086872277,0.011062970207979724,118153.12706444808,361947.7601631433
61,WT.RBD,0.21775920797166382,0.21787726238126834,143877.656333416,358568.0565730472
61,WT.S,0.014063913985817612,0.014064502311007336,113718.10730535428,445116.67646351195
61,WT.S1,0.0056219185649713085,0.005622013488858908,98656.5110026182,382525.76682521414
61,WT.S2,0.05571064391544682,0.055720920853019024,116910.32752225232,538254.7830687058
62,B.1.1.7.RBD,98.00089574756014,99.46801369448382,283398.66635798477,341043.3081674172
62,B.1.1.7.S,1725.4997358146286,719.3418272179091,793958.3654221416,420199.89765051875
62,B.1.351.RBD,1.0141666741973487,1.015179346283248,255030.58714653336,456463.2692206173
62,B.1.351.S,980933.3979110571,2424.835533337116,978009.6504106673,184243.62296003808
62,B.1.617.2.RBD,0.017040436831539545,0.017040992737462783,132793.55734942743,356002.9791515606
62,B.617.1.RBD,0.13633658036600763,0.1363709692181704,167354.01296081438,380894.92794861377
62,B.617.1.S,64506.94905534084,404966.30607541255,1766321.3673330247,1372.8055446963626
62,B.617.2.S,759.3262846434421,389.7176210867048,851469.339978454,603476.1382121136
62,WT.N,32.555454715863235,34.85726358992522,255814.7949701354,447237.6986790503
62,WT.NTD,0.035072537447797654,0.03507570472270769,149473.56628119986,414676.4238393854
62,WT.RBD,4639.87065420194,1828.00071604302,956798.2990404778,302765.52803268435
62,WT.S,19.858300290830428,19.658814193593653,484736.5505339533,516889.919331953
62,WT.S1,10.92126794841825,10.83587280610738,493963.3814315115,410547.2080397085
62,WT.S2,8.972878598472368,9.21498065057543,279976.4882128674,728305.359446481
63,B.1.1.7.RBD,1464.8795598033223,601.0290265276996,410989.6540416284,339144.4948343881
